PokerRoom,TableName,TableId,TableNo,SeatId,SeatNo,PlayerId,PlayerName,Nationality,ChipCount
Main,Black,43188,31,429789,4,103874,Gevork Melikian,RU,40000
Main,Black,43188,31,429790,5,68639,Linus Goh,AU,39000
Main,Black,43188,31,429791,6,103672,Guy Gorelik,IL,35000
Main,Black,43189,32,429796,1,42293,Sami Nasri Munir Kassisieh,JO,53000
Main,Black,43189,32,429797,2,104587,Yury Nadinsky-Artamonov,RU,56800
Main,Black,43189,32,429798,3,103615,Etemad Saeid Amir Ali,US,24500
Main,Black,43189,32,429799,4,104321,HAKAN KUSCU,TR,40100
Main,Black,43189,32,429800,5,102657,Vedat Levi,TR,17200
Main,Black,43189,32,429801,6,15127,Nicolas Chouity,KN,40000
Main,Black,43189,32,429802,7,103737,Yuxi Huang,CN,80100
Main,Black,43190,33,429806,1,104228,Igor Bukowski,PL,44000
Main,Black,43190,33,429807,2,100980,YASSIN MOHAMMAD,JO,36800
Main,Black,43190,33,429808,3,104163,Valeriy Fokin,RU,25000
Main,Black,43190,33,429809,4,14813,Koray Korkmaz,TR,23600
Main,Black,43190,33,429810,5,101809,Arslan Agabayev,TM,32000
Main,Black,43190,33,429811,6,104151,Fabian Felix Wolf,DE,70000
Main,Black,43190,33,429812,7,104170,Anastasiia Gorbunkova,RU,39000
Main,Black,43191,34,429816,1,104104,Konstantin Voronin,RU,41000
Main,Black,43191,34,429817,2,21364,Marvin Becker,ES,68000
Main,Black,43191,34,429818,3,18389,Agharazi Babayev,TR,23000
Main,Black,43191,34,429820,5,104566,Michael Ludovicus T Goossens,BE,52000
Main,Black,43191,34,429821,6,70466,Giorgii Skhulukhia,RU,41000
Main,Black,43191,34,429822,7,104568,Laurens George M Verschueren,BE,57000
Main,Black,43192,35,429826,1,54744,Adrian State,GB,50000
Main,Black,43192,35,429827,2,104318,Shmuel Madar,IL,27000
Main,Black,43192,35,429828,3,14000,Mihai-Cristian Tabac,RO,37500
Main,Black,43192,35,429830,5,103666,Murat Ozyurt,TR,28600
Main,Black,43192,35,429831,6,104153,Simeon Kuberov Naydenov,BG,52300
Main,Black,43192,35,429832,7,104146,Tamer Mohamed Abdelzaher Ibrahim,EG,35400
Main,Black,43193,36,429836,1,1028,Richard Broda,HU,23000
Main,Black,43193,36,429837,2,104173,Iurii Suvorov,RU,40000
Main,Black,43193,36,429838,3,103818,IGOR KROUJALOV,CA,50000
Main,Black,43193,36,429839,4,103610,Shenghao Wu,CN,40000
Main,Black,43193,36,429840,5,104298,Vladas Burneikis,LT,50000
Main,Black,43193,36,429841,6,2763,Azamat Tulepbergenov,KZ,37500
Main,Black,43193,36,429842,7,35958,Kevin Allen,GB,40500
